1:Identifiant de document|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
411:|||||||000001|08/01/2024|Vente|275000,00|25||RUE|0045|FERRACHAT|1340|MONTREVEL-EN-BRESSE|01|266||AB|94||||||||||||0|3|Dépendance||0|0|S||823
412:|||||||000001|08/01/2024|Vente|275000,00|25||RUE|0045|FERRACHAT|1340|MONTREVEL-EN-BRESSE|01|266||AB|94||||||||||||0|3|Dépendance||0|0|S||823
413:|||||||000001|08/01/2024|Vente|275000,00|25||RUE|0045|FERRACHAT|1340|MONTREVEL-EN-BRESSE|01|266||AB|94||||||||||||0|3|Dépendance||0|0|S||823
414:|||||||000001|08/01/2024|Vente|200000,00|22||RTE|0090|DES SAUGES|1130|CHARIX|01|87||A|722||||||||||||0|3|Dépendance||0|0|P||2010
415:|||||||000001|08/01/2024|Vente|200000,00|22||RTE|0090|DES SAUGES|1130|CHARIX|01|87||A|722||||||||||||0|1|Maison||70|4|P||2010
416:|||||||000001|08/01/2024|Vente|200000,00|22||RTE|0090|DES SAUGES|1130|CHARIX|01|87||A|722||||||||||||0|1|Maison||70|4|S||1000
417:|||||||000001|08/01/2024|Vente|200000,00|22||RTE|0090|DES SAUGES|1130|CHARIX|01|87||A|722||||||||||||0|3|Dépendance||0|0|S||1000
418:|||||||000002|04/01/2024|Echange|100,00|||AV|0480|PAUL PAINLEVE|1500|AMBERIEU-EN-BUGEY|01|4||AN|541||||||||||||0||||||S||5
419:|||||||000002|04/01/2024|Echange|100,00|||AV|0480|PAUL PAINLEVE|1500|AMBERIEU-EN-BUGEY|01|4||AN|542||||||||||||0||||||S||59
420:|||||||000003|04/01/2024|Echange|100,00|||AV|0480|PAUL PAINLEVE|1500|AMBERIEU-EN-BUGEY|01|4||AN|539||||||||||||0||||||S||21
421:|||||||000001|10/01/2024|Vente|432500,00|214||RUE|0395|DE BRET|1340|BRESSE VALLONS|01|130|154|AA|298||||||||||||0|3|Dépendance||0|0|T||1275
422:|||||||000001|10/01/2024|Vente|432500,00|214||RUE|0395|DE BRET|1340|BRESSE VALLONS|01|130|154|AA|298||||||||||||0|1|Maison||120|5|T||1275
423:|||||||000001|17/01/2024|Vente|114500,00|76||RTE|0440|DE GENEVE|1700|NEYRON|01|275||AK|394||30||||||||||1|3|Dépendance||0|0|||
424:|||||||000001|17/01/2024|Vente|114500,00|76||RTE|0440|DE GENEVE|1700|NEYRON|01|275||AK|394||43||||||||||1|3|Dépendance||0|0|||
425:|||||||000001|17/01/2024|Vente|114500,00|76||RTE|0440|DE GENEVE|1700|NEYRON|01|275||AK|394||34||||||||||1|2|Appartement||31|2|||
426:|||||||000001|05/01/2024|Vente|56011,00||||B127|SALOS|1400|NEUVILLE-LES-DAMES|01|272||C|837||||||||||||0||||||BS||86680
427:|||||||000001|03/01/2024|Vente|152000,00|123|A|CHE|0002|DE L ANCIENNE TUILERIE|1960|PERONNAS|01|289||AD|255||3|57,60|||||||||1|2|Appartement||56|2|||
428:|||||||000001|03/01/2024|Vente|152000,00|123|A|CHE|0002|DE L ANCIENNE TUILERIE|1960|PERONNAS|01|289||AD|255||7||||||||||1|3|Dépendance||0|0|||
429:|||||||000001|16/01/2024|Vente|290000,00||||B028|MARAIS CLOS|1170|CHEVRY|01|103||C|610||||||||||||0||||||AB||548
430:|||||||000001|11/01/2024|Vente|115000,00|9033|||B018|BLANAZ|1230|SAINT-RAMBERT-EN-BUGEY|01|384||AK|144||||||||||||0|4|Local industriel. commercial ou assimilé||265|0|S||836
431:|||||||000001|10/01/2024|Vente|165000,00|38|B|AV|0480|PAUL PAINLEVE|1500|AMBERIEU-EN-BUGEY|01|4||AN|309||12||||||||||1|4|Local industriel. commercial ou assimilé||220|0|||
432:|||||||000001|13/01/2024|Vente|300,00||||B151|RODETTE|1270|COLIGNY|01|108||C|804||||||||||||0||||||VI||441
433:|||||||000001|12/01/2024|Vente|370000,00|5998|||B130|CROIX CHAMPILLON|1851|MARBOZ|01|232||D|2520||||||||||||0|3|Dépendance||0|0|S||1051
434:|||||||000001|12/01/2024|Vente|370000,00|5998|||B130|CROIX CHAMPILLON|1851|MARBOZ|01|232||D|2520||||||||||||0|1|Maison||150|4|S||1051
435:|||||||000002|09/01/2024|Vente|198000,00|18||RUE|2000|JEAN MERMOZ|1000|BOURG-EN-BRESSE|01|53||AK|302||||||||||||0|3|Dépendance||0|0|S||664
436:|||||||000002|09/01/2024|Vente|198000,00|18||RUE|2000|JEAN MERMOZ|1000|BOURG-EN-BRESSE|01|53||AK|302||||||||||||0|1|Maison||89|4|S||664
437:|||||||000001|12/01/2024|Vente|162000,00|783||RUE|0100|DE LA CHARPINE|1000|SAINT-DENIS-LES-BOURG|01|344||AK|192||||||||||||0|1|Maison||78|3|S||791
438:|||||||000001|08/01/2024|Vente|874000,00||||B009|CORMASSINE|1310|CURTAFOND|01|140||D|420||||||||||||0||||||T||18691
439:|||||||000001|08/01/2024|Vente|874000,00||||B034|LES VAINES|1310|CURTAFOND|01|140||D|443||||||||||||0||||||BS||532
440:|||||||000001|08/01/2024|Vente|874000,00||||B026|LES PETITS BOIS|1310|CURTAFOND|01|140||D|527||||||||||||0||||||BS||460
441:|||||||000001|08/01/2024|Vente|874000,00||||B026|LES PETITS BOIS|1310|CURTAFOND|01|140||D|536||||||||||||0||||||BS||3179
442:|||||||000001|08/01/2024|Vente|874000,00||||B026|LES PETITS BOIS|1310|CURTAFOND|01|140||D|537||||||||||||0||||||BS||6114
443:|||||||000001|08/01/2024|Vente|874000,00||||B026|LES PETITS BOIS|1310|CURTAFOND|01|140||D|542||||||||||||0||||||T||3896
444:|||||||000001|08/01/2024|Vente|874000,00||||B026|LES PETITS BOIS|1310|CURTAFOND|01|140||D|543||||||||||||0||||||T||2454
445:|||||||000001|08/01/2024|Vente|874000,00||||B026|LES PETITS BOIS|1310|CURTAFOND|01|140||D|544||||||||||||0||||||T||4835
446:|||||||000001|08/01/2024|Vente|874000,00||||B026|LES PETITS BOIS|1310|CURTAFOND|01|140||D|548||||||||||||0||||||BS||3162
447:|||||||000001|08/01/2024|Vente|874000,00||||B026|LES PETITS BOIS|1310|CURTAFOND|01|140||D|549||||||||||||0||||||T||4600
448:|||||||000001|08/01/2024|Vente|874000,00||||B026|LES PETITS BOIS|1310|CURTAFOND|01|140||D|550||||||||||||0||||||T||2030
